,Episode,Negative,Neutral,Positive
0,1x01,0.9188192,0.07419806,0.0069827316
1,1x01,0.00798664,0.8952849,0.09672848
2,1x01,0.70860934,0.22854722,0.062843464
3,1x01,0.051233664,0.81553304,0.13323322
4,1x01,0.643831,0.27094722,0.08522178
5,1x01,0.01657236,0.07816156,0.90526605
6,1x01,0.73255247,0.20385392,0.0635936
7,1x01,0.8115812,0.1730575,0.015361274
8,1x01,0.006808282,0.020676302,0.97251546
9,1x01,0.36120024,0.38393062,0.25486907
10,1x01,0.32406005,0.42301235,0.25292763
11,1x01,0.8305183,0.15526865,0.0142129995
12,1x01,0.026392994,0.07260027,0.90100676
13,1x01,0.13005197,0.3867528,0.48319528
14,1x01,0.0053035077,0.015057806,0.9796387
15,1x01,0.008257152,0.11253298,0.8792099
16,1x01,0.77860343,0.17803898,0.043357592
17,1x01,0.091343045,0.31145036,0.59720653
18,1x01,0.020620087,0.1935319,0.785848
19,1x01,0.32137427,0.57982177,0.098804004
20,1x01,0.79715025,0.17635621,0.02649351
21,1x01,0.88896036,0.098624796,0.012414776
22,1x01,0.26480448,0.19607677,0.53911877
23,1x01,0.44258744,0.5180436,0.03936896
24,1x01,0.25212643,0.63211125,0.11576235
25,1x01,0.22650886,0.29597744,0.47751364
26,1x01,0.31095544,0.42912135,0.25992316
27,1x01,0.0097409105,0.028943226,0.96131593
28,1x01,0.9250877,0.06618523,0.008727136
29,1x01,0.7194579,0.24210234,0.03843978
30,1x01,0.73671496,0.24601427,0.017270762
31,1x01,0.059165943,0.7196702,0.22116385
32,1x01,0.5987578,0.34365007,0.05759216
33,1x01,0.91272986,0.08127753,0.005992545
34,1x01,0.71130484,0.21952295,0.069172174
35,1x01,0.5792903,0.3922069,0.02850287
36,1x01,0.07688413,0.26428372,0.65883213
37,1x01,0.38529816,0.5885826,0.02611931
38,1x01,0.31004226,0.6414665,0.0484912
39,1x01,0.052618194,0.32627144,0.6211103
40,1x01,0.53704643,0.36112383,0.10182968
41,1x01,0.022194223,0.91614634,0.0616594
42,1x01,0.69421154,0.29729116,0.008497277
43,1x01,0.1462186,0.82318676,0.03059465
44,1x01,0.7957343,0.16889267,0.035373032
45,1x01,0.53484154,0.4015952,0.063563325
46,1x01,0.51953727,0.45432043,0.02614233
47,1x01,0.30362284,0.2571331,0.4392441
48,1x01,0.61562955,0.36682534,0.01754513
49,1x01,0.6496445,0.33210707,0.018248465
50,1x01,0.07482083,0.86905956,0.05611964
